X,Y,Z
-0.0270841,-0.158968,0.621
-0.987491,-0.439758,1.732
-1.00661,-0.449914,1.772
-1.00292,-0.449914,1.772
-0.999234,-0.449914,1.772
-0.987681,-0.446359,1.758
-0.991858,-0.449914,1.772
-0.98817,-0.449914,1.772
-1.00004,-0.457023,1.8
-0.996293,-0.457023,1.8
-0.992547,-0.457023,1.8
-0.988801,-0.457023,1.8
-0.993263,-0.460831,1.815
-1.0053,-0.468194,1.844
-0.993312,-0.464386,1.829
-0.997621,-0.468194,1.844
-0.888494,-0.677663,2.669
-0.893525,-0.685788,2.701
-0.898423,-0.693913,2.733
-0.892735,-0.693913,2.733
-0.876661,-0.685788,2.701
-0.860721,-0.677663,2.669
-0.845234,-0.669792,2.638
-0.839743,-0.669792,2.638
-0.834253,-0.669792,2.638
-0.216615,-0.197282,0.777
-0.214998,-0.197282,0.777
-0.211733,-0.195758,0.771
-0.210129,-0.195758,0.771
-0.207983,-0.19525,0.769
-0.206383,-0.19525,0.769
-0.203983,-0.194489,0.766
-0.201597,-0.193727,0.763
-0.199484,-0.193219,0.761
-0.101477,-0.199821,0.787
-0.1006,-0.201344,0.793
-0.0989494,-0.201344,0.793
-0.096931,-0.200582,0.79
-0.0952869,-0.200582,0.79
-0.0930501,-0.199313,0.785
-0.0904848,-0.197282,0.777
-0.0885246,-0.19652,0.774
-0.0869138,-0.19652,0.774
-0.0849723,-0.195758,0.771
-0.046076,-0.165544,0.652
-0.0443075,-0.16402,0.646
-0.0428301,-0.163513,0.644
-0.0414898,-0.163513,0.644
-0.0401496,-0.163513,0.644
-0.0388093,-0.163513,0.644
-0.0373527,-0.163005,0.642
-0.0358483,-0.162243,0.639
-0.0345724,-0.162497,0.64
-0.0329808,-0.161227,0.635
-0.0315596,-0.16072,0.633
-0.0302422,-0.16072,0.633
-0.0288791,-0.160466,0.632
-0.0269969,-0.157165,0.619
-0.987491,-0.436145,1.732
-1.00661,-0.446218,1.772
-1.00292,-0.446218,1.772
-0.999234,-0.446218,1.772
-0.995546,-0.446218,1.772
-0.991858,-0.446218,1.772
-0.995978,-0.449743,1.786
-1.00004,-0.453269,1.8
-1.0046,-0.457046,1.815
-1.00082,-0.457046,1.815
-0.997041,-0.457046,1.815
-1.00092,-0.460571,1.829
-1.01347,-0.468126,1.859
-1.00146,-0.464349,1.844
-1.00574,-0.468126,1.859
-0.888494,-0.672097,2.669
-0.893525,-0.680155,2.701
-0.898423,-0.688213,2.733
-0.892735,-0.688213,2.733
-0.876661,-0.680155,2.701
-0.860721,-0.672097,2.669
-0.845234,-0.664291,2.638
-0.830194,-0.656736,2.608
-0.834253,-0.664291,2.638
-0.217173,-0.196165,0.779
-0.214998,-0.195661,0.777
-0.211733,-0.19415,0.771
-0.210129,-0.19415,0.771
-0.207983,-0.193646,0.769
-0.206383,-0.193646,0.769
-0.203983,-0.192891,0.766
-0.202389,-0.192891,0.766
-0.199484,-0.191632,0.761
-0.748661,-0.985104,3.912
-0.740519,-0.985104,3.912
-0.745108,-1.00223,3.98
-0.101477,-0.198179,0.787
-0.100219,-0.198935,0.79
-0.0989494,-0.19969,0.793
-0.096931,-0.198935,0.79
-0.0952869,-0.198935,0.79
-0.0930501,-0.197676,0.785
-0.0901354,-0.194906,0.774
-0.0885246,-0.194906,0.774
-0.0869138,-0.194906,0.774
-0.0849723,-0.19415,0.771
-0.046076,-0.164184,0.652
-0.0444447,-0.163177,0.648
-0.0429631,-0.162673,0.646
-0.0414898,-0.162169,0.644
-0.0401496,-0.162169,0.644
-0.0388093,-0.162169,0.644
-0.0373527,-0.161666,0.642
-0.0358483,-0.16091,0.639
-0.0345724,-0.161162,0.64
-0.0329808,-0.159903,0.635
-0.0315596,-0.1594,0.633
-0.0302422,-0.1594,0.633
-0.0288791,-0.159148,0.632
-0.0270841,-0.156378,0.621
-0.987491,-0.432533,1.732
-0.998657,-0.439026,1.758
-1.00292,-0.442522,1.772
-0.999234,-0.442522,1.772
-0.995546,-0.442522,1.772
-0.991858,-0.442522,1.772
-0.995978,-0.446018,1.786
-1.00004,-0.449515,1.8
-1.0046,-0.453261,1.815
-1.00082,-0.453261,1.815
-1.00473,-0.456757,1.829
-1.00092,-0.456757,1.829
-1.01347,-0.464249,1.859
-1.00146,-0.460503,1.844
-1.00574,-0.464249,1.859
-1.19727,-0.584119,2.339
-1.1924,-0.584119,2.339
-0.878174,-0.658789,2.638
-0.882939,-0.66653,2.669
-0.898423,-0.682513,2.733
-0.892735,-0.682513,2.733
-0.866275,-0.66653,2.669
-0.850724,-0.658789,2.638
-0.835621,-0.651297,2.608
-0.830194,-0.651297,2.608
-0.824766,-0.651297,2.608
-0.217173,-0.19454,0.779
-0.214998,-0.194041,0.777
-0.211733,-0.192542,0.771
-0.209584,-0.192043,0.769
-0.207983,-0.192043,0.769
-0.206383,-0.192043,0.769
-0.203983,-0.191293,0.766
-0.201597,-0.190544,0.763
-0.199484,-0.190045,0.761
-0.783851,-0.960213,3.845
-0.789368,-0.976945,3.912
-0.781227,-0.976945,3.912
-0.786523,-0.993927,3.98
-0.77824,-0.993927,3.98
-0.756802,-0.976945,3.912
-0.748661,-0.976945,3.912
-0.740519,-0.976945,3.912
-0.745108,-0.993927,3.98
-0.736826,-0.993927,3.98
-0.728543,-0.993927,3.98
-0.72026,-0.993927,3.98
-0.711977,-0.993927,3.98
-0.691671,-0.976945,3.912
-0.101219,-0.196038,0.785
-0.100219,-0.197287,0.79
-0.0985751,-0.197287,0.79
-0.096931,-0.197287,0.79
-0.0952869,-0.197287,0.79
-0.0930501,-0.196038,0.785
-0.0901354,-0.193291,0.774
-0.0885246,-0.193291,0.774
-0.0869138,-0.193291,0.774
-0.0849723,-0.192542,0.771
-0.0828271,-0.191293,0.766
-0.046076,-0.162824,0.652
-0.0443075,-0.161326,0.646
-0.0428301,-0.160826,0.644
-0.0414898,-0.160826,0.644
-0.0401496,-0.160826,0.644
-0.0386888,-0.160327,0.642
-0.0372363,-0.159827,0.64
-0.0358483,-0.159578,0.639
-0.0345724,-0.159827,0.64
-0.0329808,-0.158579,0.635
-0.0315596,-0.158079,0.633
-0.0302422,-0.158079,0.633
-0.0288791,-0.15783,0.632
-0.0271713,-0.155582,0.623
-0.987491,-0.428921,1.732
-0.998657,-0.43536,1.758
-1.00292,-0.438827,1.772
-0.999234,-0.438827,1.772
-0.995546,-0.438827,1.772
-0.991858,-0.438827,1.772
-0.995978,-0.442294,1.786
-1.00004,-0.445761,1.8
-1.0046,-0.449475,1.815
-1.00082,-0.449475,1.815
-1.00473,-0.452942,1.829
-1.00092,-0.452942,1.829
-1.01347,-0.460372,1.859
-1.00146,-0.456657,1.844
-1.00574,-0.460372,1.859
-1.24846,-0.604006,2.439
-1.20464,-0.585185,2.363
-0.888494,-0.660964,2.669
-0.893525,-0.668889,2.701
-0.9096,-0.685233,2.767
-0.903842,-0.685233,2.767
-0.887048,-0.676813,2.733
-0.87104,-0.668889,2.701
-0.855166,-0.660964,2.669
-0.839743,-0.653287,2.638
-0.844057,-0.660964,2.669
-0.791853,-0.952194,3.845
-0.783851,-0.952194,3.845
-0.775849,-0.952194,3.845
-0.781227,-0.968786,3.912
-0.773085,-0.968786,3.912
-0.764944,-0.968786,3.912
-0.756802,-0.968786,3.912
-0.748661,-0.968786,3.912
-0.740519,-0.968786,3.912
